adapterConnected,createdAt,roomId,temperature,humidity,mq135Voltage,air_quality_ppm,dust_density_ug_m3,light_intensity_lux,pir,occupancy,ldr,current,power,energy_kWh,deviceTimestamp,timestamp,hour,dayOfWeek,health_score,environmental_health,energy_waste,anomaly_type
1,2026-03-24 05:00:00,Room101,26.7,73.5,1.62,145.0,53.7,387.6,1,Occupied,1,2.795058,33.5407,0.000559,111600,1774328400,5,Tuesday,45,Unhealthy,0,Normal
1,2026-03-24 05:00:00,Room102,26.7,60.5,1.39,113.0,49.1,333.7,1,Occupied,1,3.318955,39.82746,0.000664,115200,1774328400,5,Tuesday,73,Moderate,0,Normal
1,2026-03-24 05:00:00,Room103,27.6,70.2,1.57,130.0,68.2,413.2,1,Occupied,1,2.282007,27.38408,0.000456,118800,1774328400,5,Tuesday,45,Unhealthy,0,Normal
1,2026-03-24 05:00:00,Room104,26.4,69.4,1.12,84.0,45.1,271.0,1,Occupied,1,1.497434,17.96921,0.0001065,122400,1774328400,5,Tuesday,80,Healthy,0,Normal
1,2026-03-24 05:00:00,Room105,27.3,62.4,1.33,107.0,45.8,41.5,0,Not Occupied,0,0.136968,1.64362,2.7e-05,126000,1774328400,5,Tuesday,58,Moderate,0,Normal
1,2026-03-24 05:00:00,Room106,27.6,64.5,1.27,105.0,30.7,13.7,0,Not Occupied,0,0.019371,0.23245,4e-06,129600,1774328400,5,Tuesday,58,Moderate,0,Normal
1,2026-03-24 06:00:00,Room101,28.4,70.9,1.58,129.0,64.4,24.4,1,Occupied,0,0.3941,4.7292,7.9e-05,133200,1774332000,6,Tuesday,30,Unhealthy,0,Normal
1,2026-03-24 06:00:00,Room102,26.4,62.0,1.54,137.0,30.5,0.0,0,Not Occupied,0,0.136533,1.6384,2.7e-05,136800,1774332000,6,Tuesday,58,Moderate,0,Normal
1,2026-03-24 06:00:00,Room103,28.4,70.6,1.48,118.0,64.3,35.2,1,Occupied,0,0.375814,4.50977,7.5e-05,140400,1774332000,6,Tuesday,30,Unhealthy,0,Normal
0,2026-03-24 06:00:00,Room104,26.1,68.2,1.09,77.0,46.2,67.8,0,Not Occupied,0,0.0,0.0,0.0,144000,1774332000,6,Tuesday,73,Moderate,0,Normal
1,2026-03-24 06:00:00,Room105,27.7,67.8,0.7,35.0,22.7,0.0,0,Not Occupied,0,0.04984,0.59808,1e-05,147600,1774332000,6,Tuesday,73,Moderate,0,Normal
1,2026-03-24 06:00:00,Room106,30.5,67.5,1.64,136.0,46.2,481.9,1,Occupied,1,0.544014,45.44527,0.000757,151200,1774332000,6,Tuesday,43,Unhealthy,0,Normal
0,2026-03-24 07:00:00,Room101,29.6,70.2,1.37,107.0,48.4,131.3,1,Occupied,0,0.0,0.0,0.0,154800,1774335600,7,Tuesday,45,Unhealthy,0,Normal
1,2026-03-24 07:00:00,Room102,29.3,64.3,1.1,74.0,20.0,138.7,0,Not Occupied,0,0.240197,2.88236,4.8e-05,158400,1774335600,7,Tuesday,73,Moderate,0,Normal
1,2026-03-24 07:00:00,Room103,29.2,61.1,1.57,136.0,45.7,138.4,1,Occupied,0,0.696199,8.35439,0.000139,162000,1774335600,7,Tuesday,58,Moderate,0,Normal
1,2026-03-24 07:00:00,Room104,27.7,65.4,0.96,60.0,48.1,186.7,0,Not Occupied,0,0.085085,1.02102,1.7e-05,165600,1774335600,7,Tuesday,80,Healthy,0,Normal
1,2026-03-24 07:00:00,Room105,28.3,67.1,1.23,95.0,15.5,163.4,0,Not Occupied,0,0.198233,2.3788,4e-05,169200,1774335600,7,Tuesday,80,Healthy,0,Normal
1,2026-03-24 07:00:00,Room106,30.0,60.8,1.36,109.0,59.7,418.5,1,Occupied,1,1.086099,13.03319,0.000217,172800,1774335600,7,Tuesday,58,Moderate,0,Normal
1,2026-03-24 08:00:00,Room101,29.0,64.0,1.54,126.0,67.3,556.5,1,Occupied,1,1.427946,17.13535,0.000286,176400,1774339200,8,Tuesday,50,Moderate,0,Normal
0,2026-03-24 08:00:00,Room102,28.7,65.3,1.16,88.0,53.7,253.6,1,Occupied,0,0.0,0.0,0.0,180000,1774339200,8,Tuesday,65,Moderate,0,Normal
1,2026-03-24 08:00:00,Room103,32.1,63.9,0.0,133.0,55.5,266.7,1,Occupied,0,0.795743,9.54892,0.000159,183600,1774339200,8,Tuesday,35,Unhealthy,0,Normal
1,2026-03-24 08:00:00,Room104,27.1,64.0,1.19,90.0,63.3,208.7,1,Occupied,0,0.618063,6.62732,0.000124,187200,1774339200,8,Tuesday,65,Moderate,0,Normal
1,2026-03-24 08:00:00,Room105,29.4,70.6,1.26,96.0,46.0,272.2,0,Not Occupied,0,0.176739,2.12087,3.5e-05,190800,1774339200,8,Tuesday,67,Moderate,0,Normal
1,2026-03-24 08:00:00,Room106,29.8,55.9,1.25,103.0,55.6,290.5,0,Not Occupied,0,0.206658,2.4799,4.1e-05,194400,1774339200,8,Tuesday,62,Moderate,0,Normal
1,2026-03-24 09:00:00,Room101,31.0,68.7,1.49,123.0,45.8,292.2,1,Occupied,0,0.127903,1.53484,2.6e-05,198000,1774342800,9,Tuesday,50,Moderate,0,Normal
1,2026-03-24 09:00:00,Room102,29.4,66.7,1.35,112.0,71.3,327.8,0,Not Occupied,0,0.189067,2.2688,3.8e-05,201600,1774342800,9,Tuesday,58,Moderate,0,Normal
1,2026-03-24 09:00:00,Room103,30.9,61.4,1.08,80.0,51.5,428.1,0,Not Occupied,0,0.082451,0.98941,1.6e-05,205200,1774342800,9,Tuesday,58,Moderate,0,Normal
1,2026-03-24 09:00:00,Room104,30.4,60.9,0.95,62.0,14.0,500.2,0,Not Occupied,0,0.164415,1.97298,3.3e-05,208800,1774342800,9,Tuesday,65,Moderate,0,Normal
1,2026-03-24 09:00:00,Room105,30.3,67.1,1.14,110.0,46.2,444.9,0,Not Occupied,0,0.030357,0.36428,6e-06,212400,1774342800,9,Tuesday,73,Moderate,0,Normal
1,2026-03-24 09:00:00,Room106,31.5,64.1,1.13,84.0,69.3,405.5,0,Not Occupied,0,0.124594,1.49513,2.5e-05,216000,1774342800,9,Tuesday,58,Moderate,0,Normal
1,2026-03-24 10:00:00,Room101,31.5,69.3,1.35,109.0,20.5,546.3,0,Not Occupied,0,0.069062,0.82874,1.4e-05,219600,1774346400,10,Tuesday,50,Moderate,0,Normal
1,2026-03-24 10:00:00,Room102,31.2,60.3,1.13,86.0,5.0,410.1,0,Not Occupied,0,0.086281,1.03537,1.7e-05,223200,1774346400,10,Tuesday,73,Moderate,0,Normal
1,2026-03-24 10:00:00,Room103,30.4,64.4,1.4,108.0,45.0,545.8,0,Not Occupied,0,0.202852,2.43422,4.1e-05,226800,1774346400,10,Tuesday,50,Moderate,0,Normal
1,2026-03-24 10:00:00,Room104,30.7,52.8,1.02,69.0,8.3,438.7,1,Occupied,0,0.114232,1.37078,2.3e-05,230400,1774346400,10,Tuesday,85,Healthy,0,Normal
1,2026-03-24 10:00:00,Room105,30.4,61.5,0.86,47.0,28.4,445.8,0,Not Occupied,0,0.095002,1.14002,1.9e-05,234000,1774346400,10,Tuesday,73,Moderate,0,Normal
1,2026-03-24 10:00:00,Room106,32.5,52.1,1.65,142.0,78.2,750.0,1,Occupied,1,3.492254,41.90705,0.000698,237600,1774346400,10,Tuesday,40,Unhealthy,0,Normal
1,2026-03-24 11:00:00,Room101,29.5,59.3,1.21,96.0,47.3,544.9,0,Not Occupied,0,0.019742,0.2369,4e-06,241200,1774350000,11,Tuesday,77,Healthy,0,Normal
1,2026-03-24 11:00:00,Room102,31.0,71.3,1.29,97.0,29.9,541.0,0,Not Occupied,0,0.039494,0.47393,8e-06,244800,1774350000,11,Tuesday,52,Moderate,0,Normal
1,2026-03-24 11:00:00,Room103,30.8,59.8,1.18,87.0,46.4,563.6,0,Not Occupied,0,0.143703,1.72444,2.9e-05,248400,1774350000,11,Tuesday,77,Healthy,0,Normal
1,2026-03-24 11:00:00,Room104,31.6,60.8,1.12,75.0,26.9,536.4,0,Not Occupied,0,0.071549,0.85859,1.4e-05,252000,1774350000,11,Tuesday,65,Moderate,0,Normal
1,2026-03-24 11:00:00,Room105,30.6,67.7,1.01,73.0,22.7,478.4,0,Not Occupied,0,0.077233,0.9268,1.5e-05,255600,1774350000,11,Tuesday,73,Moderate,0,Normal
1,2026-03-24 11:00:00,Room106,32.8,58.1,1.27,92.0,54.2,580.1,0,Not Occupied,0,0.207618,6.62732,4.2e-05,259200,1774350000,11,Tuesday,62,Moderate,0,Normal
1,2026-03-24 12:00:00,Room101,32.0,61.8,1.43,117.0,72.2,639.6,1,Occupied,0,0.777089,9.32507,0.000155,262800,1774353600,12,Tuesday,35,Unhealthy,0,Normal
1,2026-03-24 12:00:00,Room102,31.4,61.3,0.98,65.0,23.2,484.4,0,Not Occupied,0,0.058455,0.70146,1.2e-05,266400,1774353600,12,Tuesday,73,Moderate,0,Normal
1,2026-03-24 12:00:00,Room103,30.9,59.3,1.72,150.0,54.4,569.2,1,Occupied,0,0.444837,5.33804,0.0001065,270000,1774353600,12,Tuesday,47,Unhealthy,0,Normal
1,2026-03-24 12:00:00,Room104,32.0,64.3,1.22,105.0,41.7,750.0,1,Occupied,1,2.005971,24.07165,0.000401,273600,1774353600,12,Tuesday,43,Unhealthy,0,Normal
0,2026-03-24 12:00:00,Room105,31.2,65.3,1.39,116.0,28.6,499.6,0,Not Occupied,0,0.0,0.0,0.0,277200,1774353600,12,Tuesday,58,Moderate,0,Normal
1,2026-03-24 12:00:00,Room106,34.5,53.7,1.97,189.0,60.2,750.0,1,Occupied,1,1.362904,16.35485,0.000273,280800,1774353600,12,Tuesday,10,Unhealthy,0,High Temperature
1,2026-03-24 13:00:00,Room101,33.8,60.3,1.69,150.0,59.7,523.0,1,Occupied,0,0.110402,1.32482,2.2e-05,284400,1774357200,13,Tuesday,35,Unhealthy,0,Normal
1,2026-03-24 13:00:00,Room102,31.4,64.1,1.35,106.0,29.7,467.9,0,Not Occupied,0,0.12596,1.51152,2.5e-05,288000,1774357200,13,Tuesday,58,Moderate,0,Normal
1,2026-03-24 13:00:00,Room103,33.1,51.5,1.07,76.0,54.7,541.7,0,Not Occupied,0,0.227425,2.7291,4.5e-05,291600,1774357200,13,Tuesday,62,Moderate,0,Normal
1,2026-03-24 13:00:00,Room104,31.2,61.3,1.17,92.0,55.5,505.8,1,Occupied,0,0.591246,7.09495,0.000118,295200,1774357200,13,Tuesday,50,Moderate,0,Normal
1,2026-03-24 13:00:00,Room105,32.4,54.1,1.2,86.0,27.6,556.2,0,Not Occupied,0,0.166277,1.99532,3.3e-05,298800,1774357200,13,Tuesday,77,Healthy,0,Normal
1,2026-03-24 13:00:00,Room106,34.0,57.3,1.28,102.0,43.6,466.6,0,Not Occupied,0,0.082411,0.98893,1.6e-05,302400,1774357200,13,Tuesday,70,Moderate,0,Normal
1,2026-03-24 14:00:00,Room101,33.4,53.2,1.25,109.0,45.4,498.5,1,Occupied,0,0.175753,2.10904,3.5e-05,306000,1774360800,14,Tuesday,70,Moderate,0,Normal
1,2026-03-24 14:00:00,Room102,31.9,55.9,1.11,88.0,36.3,750.0,0,Not Occupied,1,3.354275,40.2513,0.000671,309600,1774360800,14,Tuesday,70,Moderate,1,Energy Waste
1,2026-03-24 14:00:00,Room103,33.0,56.2,1.71,152.0,53.1,750.0,1,Occupied,1,1.388425,16.6611,0.000278,313200,1774360800,14,Tuesday,25,Unhealthy,0,Poor Air Quality
1,2026-03-24 14:00:00,Room104,30.2,68.4,1.1,85.0,33.1,470.6,0,Not Occupied,0,0.165485,1.98582,3.3e-05,316800,1774360800,14,Tuesday,73,Moderate,0,Normal
1,2026-03-24 14:00:00,Room105,32.1,67.5,1.31,101.0,28.5,750.0,0,Not Occupied,1,2.61784,31.41408,0.000524,320400,1774360800,14,Tuesday,43,Unhealthy,1,Energy Waste
1,2026-03-24 14:00:00,Room106,34.3,59.7,1.5,126.0,64.8,522.6,1,Occupied,0,0.66434,7.97208,0.000133,324000,1774360800,14,Tuesday,32,Unhealthy,0,High Temperature
1,2026-03-24 15:00:00,Room101,34.2,57.9,1.5,132.0,51.1,663.9,1,Occupied,1,3.264231,39.17077,0.000653,327600,1774364400,15,Tuesday,32,Unhealthy,0,High Temperature
1,2026-03-24 15:00:00,Room102,32.0,60.2,1.14,87.0,19.1,379.1,1,Occupied,0,0.042033,0.5044,8e-06,331200,1774364400,15,Tuesday,73,Moderate,0,Normal
1,2026-03-24 15:00:00,Room103,30.7,62.4,1.2,110.0,46.2,374.2,0,Not Occupied,0,0.190054,2.28065,3.8e-05,334800,1774364400,15,Tuesday,73,Moderate,0,Normal
1,2026-03-24 15:00:00,Room104,31.2,57.6,1.02,77.0,39.6,390.2,0,Not Occupied,0,0.156804,1.88165,3.1e-05,338400,1774364400,15,Tuesday,85,Healthy,0,Normal
1,2026-03-24 15:00:00,Room105,31.8,62.5,1.54,130.0,45.4,750.0,1,Occupied,1,3.436939,41.24327,0.000687,342000,1774364400,15,Tuesday,43,Unhealthy,0,Normal
1,2026-03-24 15:00:00,Room106,32.6,61.3,1.27,109.0,50.9,327.9,0,Not Occupied,0,0.015468,0.18562,3e-06,345600,1774364400,15,Tuesday,43,Unhealthy,0,Normal
1,2026-03-24 16:00:00,Room101,32.7,65.2,1.54,128.0,41.6,290.0,1,Occupied,0,0.386139,4.63367,7.7e-05,349200,1774368000,16,Tuesday,50,Moderate,0,Normal
1,2026-03-24 16:00:00,Room102,31.9,55.5,1.51,124.0,42.4,226.2,1,Occupied,0,0.507918,6.62732,0.000102,352800,1774368000,16,Tuesday,62,Moderate,0,Normal
1,2026-03-24 16:00:00,Room103,34.2,56.5,1.17,93.0,44.1,344.8,1,Occupied,0,0.617142,7.4057,0.000123,356400,1774368000,16,Tuesday,70,Moderate,0,High Temperature
1,2026-03-24 16:00:00,Room104,30.2,60.4,2.96,300.0,33.0,349.8,0,Not Occupied,0,0.019291,0.23149,4e-06,360000,1774368000,16,Tuesday,73,Moderate,0,Poor Air Quality
1,2026-03-24 16:00:00,Room105,32.1,53.3,1.15,85.0,34.6,283.1,0,Not Occupied,0,0.192774,2.31329,3.9e-05,363600,1774368000,16,Tuesday,77,Healthy,0,Normal
1,2026-03-24 16:00:00,Room106,29.5,61.8,1.22,96.0,41.0,332.2,0,Not Occupied,0,0.202156,2.42587,4e-05,367200,1774368000,16,Tuesday,73,Moderate,0,Normal
1,2026-03-24 17:00:00,Room101,31.8,68.5,1.39,113.0,25.8,125.9,1,Occupied,0,0.275002,3.30002,5.5e-05,370800,1774371600,17,Tuesday,43,Unhealthy,0,Normal
1,2026-03-24 17:00:00,Room102,30.5,62.6,1.2,98.0,30.7,128.6,0,Not Occupied,0,0.236603,2.83924,4.7e-05,374400,1774371600,17,Tuesday,58,Moderate,0,Normal
1,2026-03-24 17:00:00,Room103,32.0,61.8,1.39,114.0,56.1,173.0,1,Occupied,0,0.653966,7.84759,0.000131,378000,1774371600,17,Tuesday,35,Unhealthy,0,Normal
1,2026-03-24 17:00:00,Room104,31.2,56.8,1.54,137.0,41.2,227.4,1,Occupied,0,0.177831,2.13397,3.6e-05,381600,1774371600,17,Tuesday,62,Moderate,0,Normal
1,2026-03-24 17:00:00,Room105,32.9,60.9,1.33,106.0,47.4,422.5,1,Occupied,1,2.073564,24.88277,0.000415,385200,1774371600,17,Tuesday,58,Moderate,0,Normal
1,2026-03-24 17:00:00,Room106,31.7,64.4,1.65,138.0,32.1,147.3,0,Not Occupied,0,0.117534,1.41041,2.4e-05,388800,1774371600,17,Tuesday,43,Unhealthy,0,Normal
1,2026-03-24 18:00:00,Room101,31.8,62.0,1.22,98.0,25.9,2.2,0,Not Occupied,0,0.136503,1.63804,2.7e-05,392400,1774375200,18,Tuesday,58,Moderate,0,Normal
1,2026-03-24 18:00:00,Room102,29.1,66.2,0.95,67.0,15.2,22.9,0,Not Occupied,0,0.073361,0.88033,1.5e-05,396000,1774375200,18,Tuesday,73,Moderate,0,Normal
1,2026-03-24 18:00:00,Room103,33.7,60.9,1.63,143.0,58.1,450.5,1,Occupied,1,1.762159,21.14591,0.000352,399600,1774375200,18,Tuesday,43,Unhealthy,0,Normal
1,2026-03-24 18:00:00,Room104,29.5,64.1,1.12,75.0,39.9,26.0,1,Occupied,0,0.660804,7.92965,0.000132,403200,1774375200,18,Tuesday,73,Moderate,0,Normal
1,2026-03-24 18:00:00,Room105,29.4,60.4,1.04,73.0,29.0,34.5,0,Not Occupied,0,0.087887,1.05464,1.8e-05,406800,1774375200,18,Tuesday,73,Moderate,0,Normal
1,2026-03-24 18:00:00,Room106,32.0,64.2,1.53,129.0,58.6,436.2,1,Occupied,1,2.874114,6.62732,0.000575,410400,1774375200,18,Tuesday,43,Unhealthy,0,Normal
1,2026-03-24 19:00:00,Room101,29.8,59.9,1.27,99.0,31.8,34.0,0,Not Occupied,0,0.237206,2.84647,4.7e-05,414000,1774378800,19,Tuesday,85,Healthy,0,Normal
1,2026-03-24 19:00:00,Room102,30.6,59.1,1.31,104.0,50.4,345.1,1,Occupied,1,2.497353,29.96824,0.000499,417600,1774378800,19,Tuesday,55,Moderate,0,Normal
1,2026-03-24 19:00:00,Room103,28.0,71.4,1.63,146.0,65.3,279.3,1,Occupied,1,2.882174,34.58609,0.000576,421200,1774378800,19,Tuesday,37,Unhealthy,0,Normal
1,2026-03-24 19:00:00,Room104,28.0,66.2,1.21,85.0,46.2,31.9,0,Not Occupied,0,0.198424,2.38109,4e-05,424800,1774378800,19,Tuesday,73,Moderate,0,Normal
1,2026-03-24 19:00:00,Room105,30.8,64.9,1.57,134.0,53.6,328.0,1,Occupied,1,3.898704,46.78445,0.00078,428400,1774378800,19,Tuesday,43,Unhealthy,0,Normal
1,2026-03-24 19:00:00,Room106,31.0,63.2,1.45,124.0,50.6,453.2,1,Occupied,1,3.196841,38.36209,0.000639,432000,1774378800,19,Tuesday,43,Unhealthy,0,Normal
1,2026-03-24 20:00:00,Room101,31.9,60.3,1.52,128.0,59.0,467.0,1,Occupied,1,3.563763,42.76516,0.000713,435600,1774382400,20,Tuesday,43,Unhealthy,0,Normal
1,2026-03-24 20:00:00,Room102,29.3,61.7,0.99,67.0,250.0,467.2,0,Not Occupied,1,0.0,14.32106,0.000239,439200,1774382400,20,Tuesday,88,Healthy,1,High Dust
1,2026-03-24 20:00:00,Room103,28.8,61.1,1.48,126.0,48.9,351.6,1,Occupied,1,2.744772,32.93726,0.000549,442800,1774382400,20,Tuesday,73,Moderate,0,Normal
1,2026-03-24 20:00:00,Room104,27.5,72.2,1.31,106.0,33.5,356.7,1,Occupied,1,2.249604,26.99525,0.00045,446400,1774382400,20,Tuesday,60,Moderate,0,Normal
1,2026-03-24 20:00:00,Room105,29.2,64.5,1.57,145.0,39.3,318.8,1,Occupied,1,1.49334,17.92008,0.000299,450000,1774382400,20,Tuesday,60,Moderate,0,Normal
1,2026-03-24 20:00:00,Room106,31.9,58.9,1.45,119.0,68.3,427.9,1,Occupied,1,2.29445,27.5334,0.000459,453600,1774382400,20,Tuesday,55,Moderate,0,Normal
1,2026-03-24 21:00:00,Room101,29.5,64.7,1.14,84.0,51.9,32.7,1,Occupied,0,0.429411,5.15293,8.6e-05,457200,1774386000,21,Tuesday,43,Unhealthy,0,Normal
1,2026-03-24 21:00:00,Room102,28.5,71.0,1.23,97.0,53.3,381.7,1,Occupied,1,0.935302,11.22362,0.0001065,460800,1774386000,21,Tuesday,60,Moderate,0,Normal
1,2026-03-24 21:00:00,Room103,28.9,77.5,1.88,164.0,60.8,303.8,1,Occupied,1,2.329192,27.9503,0.000466,464400,1774386000,21,Tuesday,30,Unhealthy,0,Poor Air Quality
1,2026-03-24 21:00:00,Room104,26.7,66.7,1.43,123.0,33.8,295.8,1,Occupied,1,3.86997,46.43964,0.000774,468000,1774386000,21,Tuesday,65,Moderate,0,Normal
1,2026-03-24 21:00:00,Room105,27.4,74.3,1.02,70.0,38.2,29.2,0,Not Occupied,0,0.199189,2.39027,4e-05,471600,1774386000,21,Tuesday,60,Moderate,0,Normal
1,2026-03-24 21:00:00,Room106,29.2,54.9,1.54,131.0,45.8,297.5,1,Occupied,1,2.712881,32.55457,0.000543,475200,1774386000,21,Tuesday,77,Healthy,0,Normal
1,2026-03-24 22:00:00,Room101,29.6,69.4,1.35,185.0,63.8,462.5,1,Occupied,1,3.493017,41.9162,0.000699,478800,1774389600,22,Tuesday,43,Unhealthy,0,Poor Air Quality
1,2026-03-24 22:00:00,Room102,28.1,68.6,1.19,93.0,18.6,460.7,0,Not Occupied,0,1.795446,21.54535,0.000359,482400,1774389600,22,Tuesday,88,Healthy,1,Normal
1,2026-03-24 22:00:00,Room103,28.4,60.8,1.4,117.0,50.7,323.6,1,Occupied,1,1.363289,16.35947,0.000273,486000,1774389600,22,Tuesday,58,Moderate,0,Normal
1,2026-03-24 22:00:00,Room104,26.2,64.3,1.34,108.0,46.2,49.0,0,Not Occupied,0,0.204594,2.45513,4.1e-05,489600,1774389600,22,Tuesday,58,Moderate,0,Normal
1,2026-03-24 22:00:00,Room105,27.3,71.2,1.14,88.0,33.5,46.7,0,Not Occupied,0,0.174043,2.08852,3.5e-05,493200,1774389600,22,Tuesday,60,Moderate,0,Normal
1,2026-03-24 22:00:00,Room106,30.6,63.4,1.69,151.0,57.2,282.1,1,Occupied,1,3.166451,37.99741,0.000633,496800,1774389600,22,Tuesday,20,Unhealthy,0,Poor Air Quality
1,2026-03-24 23:00:00,Room101,29.5,63.0,1.53,134.0,63.4,4.5,1,Occupied,0,0.501893,6.02272,0.0001,500400,1774393200,23,Tuesday,43,Unhealthy,0,Normal
